"tsearch","eentry"
"ยอมรับผิด","confess"
"ยอมสยบ","surrender to"
"ยั่วโมโห","anger"
"ยากจะแก้ไข","be difficult to fix"
"ยิงคำถาม","ask a question"
"ยึดทรัพย์","seize property"
"แยกจาก","separate from"
"แยกตัว","seclude"
"รสนิยมต่ำ","have low taste"
"ระเบิดอารมณ์","explode an anger"
"รักษาระดับ","maintain one's position"
"รักษาสุขภาพ","maintain one's health"
"รับหน้าที่","undertake"
"รัวใส่","fire at"
"เรียกคืน","revoke"
"เรียกตัว","summon"
"ลดค่าใช้จ่าย","reduce the expenses"
"ลดตัวลงมา","lower oneself"
"ล่วงรู้ความลับ","know someone's secret"
"ลอดผ่าน","pass through"
"ลิงโลดใจ","be elated (at)"
"เล่นบ้าๆ","fool around with"
"เลิกกัน","terminate (the relationship)"
"วุ่นอยู่กับ","be busy with"
"ส่งข้าม","bypass"
"ส่งผลให้เกิด","cause"
"สร้างเรื่อง","make up"
"สลัดทิ้ง","throw away"
"สอดใส่","insert"
"สอบผ่าน","pass an exam"
"สังเกตเห็น","notice"
"เสนอขาย","offer for sale"
"เสนอชื่อ","nominate"
"เสี่ยงโอกาส","take a chance"
"เสียเปล่า","waste"
"เสียพนัน","lose (money) gambling"
"เสียเวลา","waste time"
"แส่หาเรื่อง","make trouble"
"หดกลับ","withdraw"
"หนีปัญหา","run away from a problem"
"หนีรอด","escape"
"หมดภาระ","be free from obligation"
"หมดสัญญา","terminate one's contract"
"หมดอำนาจ","exhaust one's power"
"หมอบลง","crouch"
"หยุดกึก","stop suddenly"
"หวาดผวา","be frightened"
"หันกลับ","turn around"
"หัวเราะเยาะ","laugh at"
"หาเงิน","earn money"
"เห็นชัด","see obviously"
"เหมาะกับ","be appropriate"
"เหยียบคันเร่ง","accelerate"
"เหยียบย่ำ","disparage"
"เหลืออยู่","remain"
"แห้งขอด","run dry"
"โหมกระหน่ำ","devastate"
"ให้ข่าวสาร","give information"
"ให้ราคา","set the price"
"ให้สัญญาณ","signal"
"ให้โอกาส","give a chance"
"ไหลผ่าน","flow through"
"อนุมัติ","approve"
"อยู่ในเส้นทาง","be in the way"
"ออกเดินทาง","depart"
"อ่านผ่านๆ","skim (through)"
"อุทิศตัว","devote oneself to"
"แอบหนี","sneak away"
"เข้าสู่ระบบ","log in"
"ตอบกลับ","reply"
"ตั้งค่า","set"
"ปิดสวิตช์","turn off"
"เปิดสวิตช์","turn on"
"เริ่มใหม่","restart"
"วางสาย","hang up"
"หยุดชั่วคราว","pause"
"กลับหัว","invert"
"กินเกลี้ยง","eat up"
"ขอแสดงความนับถือ","Yours truly"
"ขาดสอบ","absent from examination"
"ขายคล่อง","outsell"
"ขายเชื่อ","sell on credit"
"ขายเลหลัง","auction off"
"ขึ้นๆ ลงๆ","up and down"
"ขึ้นๆ ลงๆ","rise and fall"
"เข้าแฟ้ม","on file"
"ครองโลก","dominate the world"
"คลายทุกข์","relieve distress"
"ควบคุมราคา","control the prices of"
"คอแห้ง","feel dry"
"คิดแพง","overcharge"
"จัดท่า","pose"
"จารกรรม","espionage"
"ใช้กับ","apply to"
"ดับกลิ่น","deodorize"
"ดำเนินต่อไป","carry on"
"ตกหลุมรัก","fall in love"
"ตั้งล่วงหน้า","preset"
"แต่งเติม","augment"
"ถือหูโทรศัพท์","hold on"
"บิดเบน","twist"
"ประทุ","break out"
"เป็นสมาชิก","be a member of"
"เปิดใจกว้าง","open-mind"
"พ้นผิด","be acquitted"
"พ่นลม","blast"
"แพ้คะแนน","be voted down"
"มีความหมาย","meaningful"
"มีผลบังคับ","be in force"
"มีส่วนพัวพัน","get into"
"ไม่เป็นธรรม","under the belt"
"ไม่มีความคิด","have no brain"
"ไม่มีพิธีรีตรอง","informal"
"ไม่เลิกรา","keep at"
"ไม่สำเร็จ","no avail"
"ยอมจำนน","surrender"
"โยนความผิด","put the blame"
"รวมยอด","add up"
"รี่เข้าใส่","go in"
"เร่งเครื่อง","increase speed"
"ลงทะเบียนเรียน","enroll in"
"ลงรถ","get off"
"เลิกกิจการ","go out of business"
"เลิกจ้าง","lay off"
"วางโทรศัพท์","ring off"
"สลายตัว","decompose"
"สาดส่อง","break through"
"สู้คดี","defend"
"แห้งผาก","dry up"
"ให้ความร่วมมือ","go along"
"ให้จังหวะ","keep strokes"
"ออกหมายจับ","swear out"
"เกิดก่อนกำหนด","preborn"
"เกิดเรื่อง","there is trouble"
"ขาดระยะ","broken off"
"ขึ้นเงินเดือน","raise the salary"
"เข้ากะ","start working on one's shift"
"เข้าแทรกแซง","take part"
"เข้าพุง","forget all the acquired knowledge"
"เข้ามุม","be in a critical situation"
"เข้าหน้าไม่ติด","dare not to meet"
"ไขว้ขา","cross one's legs"
"ค่อยเป็นค่อยไป","proceed gradually"
"คิดดอกเบี้ย","be charge interest"
"คุมแจ","watch over closely"
"งอมืองอเท้า","be inert"
"จบเกม","be end"
"มองการณ์ไกล","be farsighted"
"ลดเกียรติ","abase"
"วอนขอ","plead for"
"สู้ความ","fight a lawsuit"
"แสดงอาการ","act up"
"หักคะแนน","deduct marks"
"เห็นแก่","think of"
"ให้คะแนน","mark"
"คิดเกินราคา","rip off"
"คืนเงิน","pay back"
"จงดู","look!"
"จงฟัง","listen"
"เซ้ง","sell out"
"ตกอยู่ในอันตราย","be in danger"
"บอกรับเป็นสมาชิก","subscribe"
"ประกอบด้วย","feature"
"มีคุณสมบัติดีพร้อม","qualified"
"ไม่ทำงาน","inoperative"
"ระดมสมอง","brainstorm"
"ล้างสมอง","brainwash"
"หมดอายุการใช้งาน","end of life"
"ออกโทรทัศน์","box"
"ล้างสมอง","brainwash"
"ออกโทรทัศน์","box"
"โมโห","be angry"
"แยกประเภท","separate"
